"","HGNC.ID","P.VALUE"
"1","HGNC:24866","1"
"2","HGNC:19104","1"
"3","HGNC:18806","1"
"4","HGNC:16636","1"
"5","HGNC:8856","1"
"6","HGNC:11571","1"
"7","HGNC:6902","1"
"8","HGNC:8847","1"
"9","HGNC:16369","1"
"10","HGNC:17939","0.544992743105951"
"11","HGNC:4795","1"
"12","HGNC:17877","1"
"13","HGNC:10606","1"
"14","HGNC:16512","0.242380261248186"
"15","HGNC:20001","0.0961212644614066"
"16","HGNC:1352","1"
"17","HGNC:1353","0.545120805942116"
"18","HGNC:2661","0.00433749407354442"
"19","HGNC:11530","0.0000000796932837486987"
"20","HGNC:19190","1"
"21","HGNC:491","1"
"22","HGNC:23157","1"
"23","HGNC:8905","1"
"24","HGNC:15469","0.294311111904011"
"25","HGNC:6554","0.614164969325902"
"26","HGNC:20800","1"
"27","HGNC:19100","1"
"28","HGNC:2501","0.517647058823529"
"29","HGNC:19661","1"
"30","HGNC:89","1"
"31","HGNC:989","1"
"32","HGNC:2018","0.507457959737085"
"33","HGNC:20193","0.000932575412728924"
"34","HGNC:11774","1"
"35","HGNC:1105","0.196078431372549"
"36","HGNC:14373","1"
"37","HGNC:4237","0.0986937590711176"
"38","HGNC:10360","1"
"39","HGNC:67","1"
"40","HGNC:3012","0.111030478955007"
"41","HGNC:321","1"
"42","HGNC:25403","0.66873541869578"
"43","HGNC:2698","0.534591194968553"
"44","HGNC:4539","0.00348637182498373"
"45","HGNC:7436","1"
"46","HGNC:11917","1"
"47","HGNC:23595","1"
"48","HGNC:2523","0.320754716981132"
"49","HGNC:2026","0.40119971098393"
"50","HGNC:2027","0.0378458573520003"
"51","HGNC:30213","1"
"52","HGNC:18337","1"
"53","HGNC:8621","0.0769230769230769"
"54","HGNC:406","1"
"55","HGNC:28957","1"
"56","HGNC:14581","1"
"57","HGNC:1241","1"
"58","HGNC:1245","1"
"59","HGNC:1242","1"
"60","HGNC:29079","1"
"61","HGNC:10301","1"
"62","HGNC:4116","1"
"63","HGNC:5005","1"
"64","HGNC:25839","1"
"65","HGNC:18640","1"
"66","HGNC:11013","0.632348471303415"
"67","HGNC:26031","1"
"68","HGNC:7961","1"
"69","HGNC:26624","0.163576490102572"
"70","HGNC:11071","1"
"71","HGNC:3625","0.563749191984486"
"72","HGNC:25230","1"
"73","HGNC:3377","1"
"74","HGNC:19691","1"
"75","HGNC:14957","1"
"76","HGNC:12840","1"
"77","HGNC:5144","0.0472703926344065"
"78","HGNC:362","1"
