"","HGNC.ID"
"1","HGNC:24866"
"2","HGNC:19104"
"3","HGNC:18806"
"4","HGNC:16636"
"5","HGNC:8856"
"6","HGNC:11571"
"7","HGNC:6902"
"8","HGNC:8847"
"9","HGNC:16369"
"10","HGNC:17939"
"11","HGNC:4795"
"12","HGNC:17877"
"13","HGNC:10606"
"14","HGNC:16512"
"15","HGNC:20001"
"16","HGNC:1352"
"17","HGNC:1353"
"18","HGNC:2661"
"19","HGNC:11530"
"20","HGNC:19190"
"21","HGNC:491"
"22","HGNC:23157"
"23","HGNC:8905"
"24","HGNC:15469"
"25","HGNC:6554"
"26","HGNC:20800"
"27","HGNC:19100"
"28","HGNC:2501"
"29","HGNC:19661"
"30","HGNC:89"
"31","HGNC:989"
"32","HGNC:2018"
"33","HGNC:20193"
"34","HGNC:11774"
"35","HGNC:1105"
"36","HGNC:14373"
"37","HGNC:4237"
"38","HGNC:10360"
"39","HGNC:67"
"40","HGNC:3012"
"41","HGNC:321"
"42","HGNC:25403"
"43","HGNC:2698"
"44","HGNC:4539"
"45","HGNC:7436"
"46","HGNC:11917"
"47","HGNC:23595"
"48","HGNC:2523"
"49","HGNC:2026"
"50","HGNC:2027"
"51","HGNC:30213"
"52","HGNC:18337"
"53","HGNC:8621"
"54","HGNC:406"
"55","HGNC:28957"
"56","HGNC:14581"
"57","HGNC:1241"
"58","HGNC:1245"
"59","HGNC:1242"
"60","HGNC:29079"
"61","HGNC:10301"
"62","HGNC:4116"
"63","HGNC:5005"
"64","HGNC:25839"
"65","HGNC:18640"
"66","HGNC:11013"
"67","HGNC:26031"
"68","HGNC:7961"
"69","HGNC:26624"
"70","HGNC:11071"
"71","HGNC:3625"
"72","HGNC:25230"
"73","HGNC:3377"
"74","HGNC:19691"
"75","HGNC:14957"
"76","HGNC:12840"
"77","HGNC:5144"
"78","HGNC:362"
"79","HGNC:4286"
"80","HGNC:4285"
"81","HGNC:2216"
"82","HGNC:2439"
"83","HGNC:21679"
"84","HGNC:20286"
"85","HGNC:25897"
"86","HGNC:2218"
"87","HGNC:2519"
"88","HGNC:11005"
"89","HGNC:7217"
"90","HGNC:29040"
"91","HGNC:9670"
"92","HGNC:10866"
"93","HGNC:9586"
"94","HGNC:3259"
"95","HGNC:12591"
"96","HGNC:7527"
"97","HGNC:15954"
"98","HGNC:24525"
"99","HGNC:9352"
"100","HGNC:9826"
"101","HGNC:11556"
"102","HGNC:10879"
"103","HGNC:25716"
"104","HGNC:4053"
"105","HGNC:11918"
"106","HGNC:25567"
"107","HGNC:25186"
"108","HGNC:4396"
"109","HGNC:8851"
"110","HGNC:14668"
"111","HGNC:6116"
"112","HGNC:9816"
"113","HGNC:4224"
"114","HGNC:29594"
"115","HGNC:17869"
"116","HGNC:10535"
"117","HGNC:6354"
"118","HGNC:17975"
"119","HGNC:5244"
"120","HGNC:6912"
"121","HGNC:27962"
"122","HGNC:9701"
"123","HGNC:11281"
"124","HGNC:7685"
"125","HGNC:4816"
"126","HGNC:2876"
"127","HGNC:8657"
"128","HGNC:17073"
"129","HGNC:7978"
"130","HGNC:6512"
"131","HGNC:9305"
"132","HGNC:11244"
"133","HGNC:15464"
"134","HGNC:28844"
"135","HGNC:29427"
"136","HGNC:2433"
"137","HGNC:1460"
"138","HGNC:32521"
"139","HGNC:10387"
"140","HGNC:7680"
"141","HGNC:15518"
"142","HGNC:4367"
"143","HGNC:18762"
"144","HGNC:3596"
"145","HGNC:11219"
"146","HGNC:6171"
"147","HGNC:13760"
"148","HGNC:28018"
"149","HGNC:5970"
"150","HGNC:4082"
"151","HGNC:4075"
"152","HGNC:4087"
"153","HGNC:9870"
"154","HGNC:2988"
"155","HGNC:3815"
"156","HGNC:7910"
"157","HGNC:7392"
"158","HGNC:11140"
"159","HGNC:11019"
"160","HGNC:3530"
"161","HGNC:14377"
"162","HGNC:11280"
"163","HGNC:3767"
"164","HGNC:3800"
"165","HGNC:12412"
"166","HGNC:30829"
"167","HGNC:21365"
"168","HGNC:21062"
"169","HGNC:3531"
"170","HGNC:3052"
"171","HGNC:4204"
"172","HGNC:3176"
"173","HGNC:17328"
"174","HGNC:10548"
"175","HGNC:21576"
"176","HGNC:18141"
"177","HGNC:408"
"178","HGNC:17768"
"179","HGNC:7197"
"180","HGNC:21642"
"181","HGNC:1802"
"182","HGNC:4932"
"183","HGNC:13937"
"184","HGNC:7328"
"185","HGNC:12651"
"186","HGNC:1248"
"187","HGNC:1037"
"188","HGNC:10898"
"189","HGNC:1323"
"190","HGNC:1324"
"191","HGNC:2600"
"192","HGNC:4947"
"193","HGNC:4942"
"194","HGNC:4944"
"195","HGNC:44"
"196","HGNC:43"
"197","HGNC:4938"
"198","HGNC:4940"
"199","HGNC:11566"
"200","HGNC:2681"
"201","HGNC:11497"
"202","HGNC:21237"
"203","HGNC:10383"
"204","HGNC:14468"
"205","HGNC:21246"
"206","HGNC:7190"
"207","HGNC:4678"
"208","HGNC:11968"
"209","HGNC:4415"
"210","HGNC:9312"
"211","HGNC:9181"
"212","HGNC:4670"
"213","HGNC:21057"
"214","HGNC:21022"
"215","HGNC:9040"
"216","HGNC:14258"
"217","HGNC:7526"
"218","HGNC:10006"
"219","HGNC:11743"
"220","HGNC:9016"
"221","HGNC:16406"
"222","HGNC:21219"
"223","HGNC:21308"
"224","HGNC:4311"
"225","HGNC:23038"
"226","HGNC:2217"
"227","HGNC:17282"
"228","HGNC:6299"
"229","HGNC:19261"
"230","HGNC:10933"
"231","HGNC:15673"
"232","HGNC:31923"
"233","HGNC:987"
"234","HGNC:8907"
"235","HGNC:11595"
"236","HGNC:8021"
"237","HGNC:21406"
"238","HGNC:21034"
"239","HGNC:13601"
"240","HGNC:10882"
"241","HGNC:4580"
"242","HGNC:21033"
